Unnamed: 0,cat,climscen,P [mean kg/ha/a],P [mean kg/ha/3rd year],P [mean kg/ha/6th year],P [mean kg/ha/9th year],N [mean kg/ha/a],N [mean kg/ha/3rd year],N [mean kg/ha/6th year],N [mean kg/ha/9th year],logscen,cat_area,log_area,log_pr,runoff [mean mm/a],runoff [mean yearly mm/a],pr_diff_ave,pr_diff_ave_P,pr_diff_ave_N
0,04_184A001,2003-2012,0.083,0.084,0.146,0.076,1.99,2.188,3.34,2.164,No clear-cut,1098.368,0.0,0.0,262.0,0.2615038290154189,0,0.0,0.0
0,04_184A001,2003-2012,0.10099999999999999,0.10800000000000001,0.17300000000000001,0.102,2.374,2.657,3.878,2.708,All clear-cut,1098.368,196.07,0.1785,288.0,0.2883064590394497,0,21.686746987951793,19.2964824120603
0,04_184A001,Dry,0.005,0.005,0.005,0.006,0.185,0.18100000000000002,0.207,0.226,No clear-cut,1098.368,0.0,0.0,59.0,0.05943588495720178,0,-93.97590361445783,-90.7035175879397
0,04_184A001,Dry,0.011000000000000001,0.011000000000000001,0.013000000000000001,0.013000000000000001,0.36200000000000004,0.37200000000000005,0.425,0.449,All clear-cut,1098.368,196.07,0.1785,73.0,0.07324721993645653,0,-86.74698795180723,-81.80904522613065
0,04_184A001,Wet,0.113,0.115,0.115,0.115,2.57,2.603,2.602,2.6010000000000004,No clear-cut,1098.368,0.0,0.0,409.0,0.4094898377545178,0,36.14457831325302,29.145728643216074
0,04_184A001,Wet,0.133,0.136,0.134,0.134,3.002,3.071,3.033,3.025,All clear-cut,1098.368,196.07,0.1785,445.0,0.4453739184886217,0,60.24096385542168,50.8542713567839
0,04_184A001,Wet&mild,0.141,0.142,0.142,0.142,3.3710000000000004,3.407,3.409,3.406,No clear-cut,1098.368,0.0,0.0,351.0,0.35076449550688266,0,69.87951807228913,69.39698492462313
0,04_184A001,Wet&mild,0.16899999999999998,0.174,0.172,0.172,3.904,3.98,3.963,3.952,All clear-cut,1098.368,196.07,0.1785,377.0,0.376647022459656,0,103.61445783132527,96.18090452261305
0,04_184A002,2003-2012,0.08,0.085,0.14300000000000002,0.07200000000000001,1.969,2.259,3.332,2.1109999999999998,No clear-cut,134.886,0.0,0.0,253.0,0.25263264977838845,0,0.0,0.0
0,04_184A002,2003-2012,0.08900000000000001,0.096,0.156,0.085,2.1830000000000003,2.536,3.62,2.415,All clear-cut,134.886,13.261,0.0983,268.0,0.2683513615047559,0,11.25,10.868461147790768
0,04_184A002,Dry,0.004,0.004,0.005,0.005,0.14800000000000002,0.146,0.165,0.179,No clear-cut,134.886,0.0,0.0,52.0,0.05209785723127425,0,-95.0,-92.48349415947182
0,04_184A002,Dry,0.006999999999999999,0.006999999999999999,0.008,0.008,0.24600000000000002,0.251,0.28600000000000003,0.304,All clear-cut,134.886,13.261,0.0983,59.0,0.0591765207471326,0,-91.25,-87.50634840020315
0,04_184A002,Wet,0.109,0.11,0.11,0.11,2.497,2.53,2.526,2.525,No clear-cut,134.886,0.0,0.0,402.0,0.4016009490936995,0,36.25,26.815642458100555
0,04_184A002,Wet,0.11800000000000001,0.12,0.11900000000000001,0.11800000000000001,2.719,2.7689999999999997,2.74,2.735,All clear-cut,134.886,13.261,0.0983,422.0,0.4220671751536429,0,47.5,38.09040121889282
0,04_184A002,Wet&mild,0.133,0.135,0.135,0.134,3.238,3.273,3.2689999999999997,3.265,No clear-cut,134.886,0.0,0.0,341.0,0.3410026799887419,0,66.25,64.44895886236668
0,04_184A002,Wet&mild,0.147,0.15,0.149,0.14800000000000002,3.5269999999999997,3.5839999999999996,3.563,3.552,All clear-cut,134.886,13.261,0.0983,357.0,0.3565302805043757,0,83.75,79.1264601320467
0,04_184A003,2003-2012,0.084,0.08900000000000001,0.152,0.07400000000000001,1.999,2.352,3.424,2.154,No clear-cut,147.558,0.0,0.0,254.0,0.254368164925836,0,0.0,0.0
0,04_184A003,2003-2012,0.10400000000000001,0.114,0.184,0.10400000000000001,2.418,2.84,4.039,2.7569999999999997,All clear-cut,147.558,28.031999999999996,0.19,282.0,0.2822134360903874,0,23.80952380952381,20.960480240120077
